artist	date	venue	notes
Ali Berger	12/8/2011	The Middle East, Boston	
All Natural	4/30/2014	SOB's	With Kso & Khalah
Aloe Blacc	8/5/2012	Osheaga, Montreal, Quebec	
Alt-J	6/8/2013	Governor's Ball, Randall's Island NYC	
Amadou & Miriam	8/3/2012	Osheaga, Montreal, Quebec	
Amon Tobin	10/27/2011	Brooklyn Masonic Temple	ISAM Live
An-ten-nae	8/10/2013	The Big Up, Claverack, NY	
Andrew Bird	10/9/2008	The Egg, Albany	
Andrew Bird	6/10/2011	Prospect Park Bandshell	With Feeley
Angel Haze	10/19/2012	Grammercy Theatre	Mass Appeal Showcase
Animal Collective	6/12/2009	Bonnaroo 2009	
Animal Collective	7/12/2011	Prospect Park Bandshell	
Animal Collective	7/15/2011	Pitchfork Fest 2011, Chicago	
Animal Collective 	3/7/2013	House of Blues, Boston 	With becks and tom
Arcade Fire	8/24/2014	Barclays Center	
Architecture In Helsinki	11/18/2011	Irving Plaza	
ARMS	10/17/2014	Cameo Gallery	Tlacael's Band
Atlas Sound	10/22/2009	Paradise Rock, Boston	
Atlas Sound	6/16/2011	St. Cecilia's Church	Northside Festival 2011
Atlas Sound	8/3/2012	Osheaga, Montreal, Quebec	
Atlas Sound	10/4/2014	Webster Hall	Downtown Music Festival
Avey Tare	9/11/2010	Governor's Island	
Avey Tare's Slasher Flicks	10/4/2014	Webster Hall	Downtown Music Festival
Bad Cello	7/5/2013	Glasslands	With becks, taty and rebecca han
Bad Cello	6/1/2013	Pianos	
Bad Cello	1/8/2015	Shea Stadium	With Alexis
Band of Horses	6/14/2009	Bonnaroo 2009	
Bassnectar	7/20/2012	Firefly Music Festival	
Bassnectar	7/12/2013	Camp Bisco 12	
Bastille	6/6/2014	Governor's Ball	
Bastille	10/9/2014	Radio City Music Hall	
Baths	10/20/2010	The Cake Shop	First time
Baths	10/21/2010	Pianos	Second time
Baths	10/22/2010	Knitting Factory	Third time
Baths	2/12/2011	Knitting Factory	Fourth time, w/ the ChKris's
Baths	7/17/2011	Pitchfork Fest 2011, Chicago	
Battles	7/15/2011	Pitchfork Fest 2011, Chicago	
BB King	05/14/2008	Stanley Theatre	
Beats Antique	8/10/2013	The Big Up, Claverack, NY	
Beats Antique	10/23/2014	Best Buy Theater	Creature Carnival with Alen and Feeley
Beirut	6/17/2011	McCarren Park	Northside Festival 2011
Beirut	8/29/2012	Central Park Summerstage	Camped outside andy and olivia inside
Belle and Sebastian	2/25/2006	The Docks, Toronto	Ran into Alexis and Sarah Yoss
Belle and Sebastian	9/30/2010	Williamsburg Waterfront	Second time, with Reyes
Belle Orchestre	4/25/2006	Hamilton College	
Big Gigantic	7/29/2011	Big Up 2	It started pouring down rain
Big Gigantic	7/12/2014	Saugerties, NY	Hudson Music Project
Big Gigantic	7/17/2015	Camp Bisco	
Bishop Nehru	8/5/2015	East River Park, NY	
Black Eyed Peas	04/28/2006	Turning Stone Casino	
Black Moth Super Rainbow	7/8/2011	Camp Bisco 10	
Bleeding Rainbow	2/11/2013	The Cake Shop	
Bluetech	9/25/2013	Highline Ballroom	
BLVD	07/17/2009	Camp Bisco 8	
Bombay Bicycle Club	9/15/2011	Terminal 5	
Bombay Bicycle Club	7/22/2012	Firefly Music Festival	
Bombay Bicycle Club	8/3/2012	Osheaga, Montreal, Quebec	
Bon Iver	06/13/2009	Bonnaroo 2009	
Bonobo	10/12/2013	Terminal 5	with live band and powers
Bonobo	7/12/2014	Saugerties, NY	Hudson Music Project
Born Gold	3/23/2012	Mercury Lounge	
Boyz Noize	7/11/2013	Camp Bisco 12	
Brandt Brauer Frick	8/4/2012	Osheaga, Montreal, Quebec	
Break Science	7/17/2009	Camp Bisco 8	First time
Break Science	9/9/2009	Somerville Theatre	Second time, opened for Mike Gordon
Break Science	7/8/2011	Camp Bisco 10	with RJD2
Broadcast	10/22/2009	Paradise Rock, Boston	
Brother Ali	11/12/2009	Tufts University	
